"day","sw_name","percent"
2023-05-22 08:00:00,个护用品II,0.649
2023-05-22 08:00:00,船舶制造II,0.487
2023-05-22 08:00:00,Nan,0.487
2023-05-22 08:00:00,特钢II,0.487
2023-05-22 08:00:00,白酒II,0.487
2023-05-22 08:00:00,白色家电II,0.487
2023-05-22 08:00:00,贸易II,0.487
2023-05-22 08:00:00,多元金融II,0.487
2023-05-22 08:00:00,其他建材II,0.487
2023-05-22 08:00:00,通信运营II,0.325
2023-05-22 08:00:00,电源设备II,0.325
2023-05-22 08:00:00,广告营销II,0.325
2023-05-22 08:00:00,游戏II,0.325
2023-05-22 08:00:00,教育II,0.325
2023-05-22 08:00:00,影视院线II,0.325
2023-05-22 08:00:00,商用车II,0.325
2023-05-22 08:00:00,电子化学品II,0.325
2023-05-22 08:00:00,专业工程II,0.325
2023-05-22 08:00:00,休闲食品II,0.325
2023-05-22 08:00:00,文娱用品II,0.325
2023-05-22 08:00:00,种植业II,0.325
2023-05-22 08:00:00,光伏设备II,0.325
2023-05-22 08:00:00,互联网电商II,0.325
2023-05-22 08:00:00,军工电子II,0.325
2023-05-22 08:00:00,航天装备II,0.325
2023-05-22 08:00:00,小家电II,0.325
2023-05-22 08:00:00,塑料II,0.325
2023-05-22 08:00:00,装修装饰II,0.325
2023-05-22 08:00:00,普钢II,0.325
2023-05-22 08:00:00,环保设备II,0.325
2023-05-22 08:00:00,非白酒II,0.325
2023-05-22 08:00:00,工程机械II,0.325
2023-05-22 08:00:00,视听器材II,0.325
2023-05-22 08:00:00,照明设备II,0.325
2023-05-22 08:00:00,食品加工II,0.325
2023-05-22 08:00:00,专业零售II,0.325
2023-05-22 08:00:00,橡胶II,0.325
2023-05-22 08:00:00,化学纤维II,0.325
2023-05-22 08:00:00,其他交运设备II,0.325
2023-05-22 08:00:00,数字媒体II,0.162
2023-05-22 08:00:00,出版II,0.162
2023-05-22 08:00:00,其他电子II,0.162
2023-05-22 08:00:00,地面兵装II,0.162
2023-05-22 08:00:00,保险II,0.162
2023-05-22 08:00:00,造纸II,0.162
2023-05-22 08:00:00,渔业II,0.162
2023-05-22 08:00:00,半导体II,0.162
2023-05-22 08:00:00,冶钢原料II,0.162
2023-05-22 08:00:00,饰品II,0.162
2023-05-22 08:00:00,城商行II,0.162
2023-05-22 08:00:00,工业金属II,0.162
2023-05-22 08:00:00,体育II,0.162
2023-05-22 08:00:00,煤炭开采II,0.162
2023-05-22 08:00:00,调味发酵品II,0.162
2023-05-22 08:00:00,综合II,0.162
2023-05-19 08:00:00,电网设备II,6.87
2023-05-19 08:00:00,通用机械II,6.38
2023-05-19 08:00:00,专用设备II,4.91
2023-05-19 08:00:00,汽车零部件II,4.75
2023-05-19 08:00:00,自动化设备II,3.76
2023-05-19 08:00:00,服装家纺II,3.27
2023-05-19 08:00:00,化学制药II,3.27
2023-05-19 08:00:00,中药II,3.11
2023-05-19 08:00:00,电力II,2.78
2023-05-19 08:00:00,医疗器械II,2.62
2023-05-19 08:00:00,环境治理II,2.62
2023-05-19 08:00:00,化学制品II,2.29
2023-05-19 08:00:00,计算机设备II,2.13
2023-05-19 08:00:00,通信设备II,1.80
2023-05-19 08:00:00,光学光电子II,1.80
2023-05-19 08:00:00,IT服务II,1.64
2023-05-19 08:00:00,航空装备II,1.64
2023-05-19 08:00:00,电子制造II,1.64
2023-05-19 08:00:00,风电设备II,1.31
2023-05-19 08:00:00,医药商业II,1.15
2023-05-19 08:00:00,家用轻工II,1.15
2023-05-19 08:00:00,船舶制造II,1.15
2023-05-19 08:00:00,纺织制造II,1.15
2023-05-19 08:00:00,包装印刷II,0.982
2023-05-19 08:00:00,软件开发II,0.982
2023-05-19 08:00:00,文娱用品II,0.982
2023-05-19 08:00:00,一般零售II,0.982
2023-05-19 08:00:00,燃气II,0.982
2023-05-19 08:00:00,电源设备II,0.818
2023-05-19 08:00:00,游戏II,0.818
