"day","sw_name","position"
2023-05-22 08:00:00,电子制造II,19
2023-05-22 08:00:00,纺织制造II,20
2023-05-22 08:00:00,物流II,21
2023-05-22 08:00:00,医药商业II,22
2023-05-22 08:00:00,一般零售II,23
2023-05-22 08:00:00,航空装备II,24
2023-05-22 08:00:00,燃气II,25
2023-05-22 08:00:00,IT服务II,26
2023-05-22 08:00:00,电机II,27
2023-05-22 08:00:00,生物制品II,28
2023-05-22 08:00:00,化妆品II,29
2023-05-22 08:00:00,软件开发II,30
2023-05-22 08:00:00,铁路公路II,31
2023-05-22 08:00:00,医疗服务II,32
2023-05-22 08:00:00,房地产开发II,33
2023-05-22 08:00:00,农化制品II,34
2023-05-22 08:00:00,基础建设II,35
2023-05-22 08:00:00,专业服务II,36
2023-05-22 08:00:00,运输设备II,37
2023-05-22 08:00:00,家电零部件II,38
2023-05-22 08:00:00,工程咨询服务II,39
2023-05-22 08:00:00,包装印刷II,40
2023-05-22 08:00:00,电池II,41
2023-05-22 08:00:00,农产品加工II,42
2023-05-22 08:00:00,个护用品II,43
2023-05-22 08:00:00,船舶制造II,44
2023-05-22 08:00:00,Nan,45
2023-05-22 08:00:00,特钢II,46
2023-05-22 08:00:00,白酒II,47
2023-05-22 08:00:00,白色家电II,48
2023-05-22 08:00:00,贸易II,49
2023-05-22 08:00:00,多元金融II,50
2023-05-22 08:00:00,其他建材II,51
2023-05-22 08:00:00,通信运营II,52
2023-05-22 08:00:00,电源设备II,53
2023-05-22 08:00:00,广告营销II,54
2023-05-22 08:00:00,游戏II,55
2023-05-22 08:00:00,教育II,56
2023-05-22 08:00:00,影视院线II,57
2023-05-22 08:00:00,商用车II,58
2023-05-22 08:00:00,电子化学品II,59
2023-05-22 08:00:00,专业工程II,60
2023-05-22 08:00:00,休闲食品II,61
2023-05-22 08:00:00,文娱用品II,62
2023-05-22 08:00:00,种植业II,63
2023-05-22 08:00:00,光伏设备II,64
2023-05-22 08:00:00,互联网电商II,65
2023-05-22 08:00:00,军工电子II,66
2023-05-22 08:00:00,航天装备II,67
2023-05-22 08:00:00,小家电II,68
2023-05-22 08:00:00,塑料II,69
2023-05-22 08:00:00,装修装饰II,70
2023-05-22 08:00:00,普钢II,71
2023-05-22 08:00:00,环保设备II,72
2023-05-22 08:00:00,非白酒II,73
2023-05-22 08:00:00,工程机械II,74
2023-05-22 08:00:00,视听器材II,75
2023-05-22 08:00:00,照明设备II,76
2023-05-22 08:00:00,食品加工II,77
2023-05-22 08:00:00,专业零售II,78
2023-05-22 08:00:00,橡胶II,79
2023-05-22 08:00:00,化学纤维II,80
2023-05-22 08:00:00,其他交运设备II,81
2023-05-22 08:00:00,数字媒体II,82
2023-05-22 08:00:00,出版II,83
2023-05-22 08:00:00,其他电子II,84
2023-05-22 08:00:00,地面兵装II,85
2023-05-22 08:00:00,保险II,86
2023-05-22 08:00:00,造纸II,87
2023-05-22 08:00:00,渔业II,88
2023-05-22 08:00:00,半导体II,89
2023-05-22 08:00:00,冶钢原料II,90
2023-05-22 08:00:00,饰品II,91
2023-05-22 08:00:00,城商行II,92
2023-05-22 08:00:00,工业金属II,93
2023-05-22 08:00:00,体育II,94
2023-05-22 08:00:00,煤炭开采II,95
2023-05-22 08:00:00,调味发酵品II,96
2023-05-22 08:00:00,综合II,97
2023-05-19 08:00:00,电网设备II,1
2023-05-19 08:00:00,通用机械II,2
2023-05-19 08:00:00,专用设备II,3
2023-05-19 08:00:00,汽车零部件II,4
2023-05-19 08:00:00,自动化设备II,5
2023-05-19 08:00:00,服装家纺II,6
2023-05-19 08:00:00,化学制药II,7
2023-05-19 08:00:00,中药II,8
2023-05-19 08:00:00,电力II,9
2023-05-19 08:00:00,医疗器械II,10
2023-05-19 08:00:00,环境治理II,11
2023-05-19 08:00:00,化学制品II,12
2023-05-19 08:00:00,计算机设备II,13
2023-05-19 08:00:00,通信设备II,14
2023-05-19 08:00:00,光学光电子II,15
2023-05-19 08:00:00,IT服务II,16
2023-05-19 08:00:00,航空装备II,17
2023-05-19 08:00:00,电子制造II,18
2023-05-19 08:00:00,风电设备II,19
2023-05-19 08:00:00,医药商业II,20
2023-05-19 08:00:00,家用轻工II,21
2023-05-19 08:00:00,船舶制造II,22
2023-05-19 08:00:00,纺织制造II,23
2023-05-19 08:00:00,包装印刷II,24
2023-05-19 08:00:00,软件开发II,25
2023-05-19 08:00:00,文娱用品II,26
2023-05-19 08:00:00,一般零售II,27
2023-05-19 08:00:00,燃气II,28
2023-05-19 08:00:00,电源设备II,29
2023-05-19 08:00:00,游戏II,30
2023-05-19 08:00:00,铁路公路II,31
2023-05-19 08:00:00,教育II,32
2023-05-19 08:00:00,互联网电商II,33
2023-05-19 08:00:00,电机II,34
2023-05-19 08:00:00,工程咨询服务II,35
2023-05-19 08:00:00,半导体II,36
2023-05-19 08:00:00,多元金融II,37
2023-05-19 08:00:00,其他建材II,38
2023-05-19 08:00:00,家电零部件II,39
2023-05-19 08:00:00,煤炭开采II,40
2023-05-19 08:00:00,通信运营II,41
2023-05-19 08:00:00,广告营销II,42
2023-05-19 08:00:00,房地产开发II,43
2023-05-19 08:00:00,农化制品II,44
2023-05-19 08:00:00,塑料II,45
2023-05-19 08:00:00,饮料乳品II,46
2023-05-19 08:00:00,贸易II,47
2023-05-19 08:00:00,城商行II,48
2023-05-19 08:00:00,电池II,49
2023-05-19 08:00:00,电子化学品II,50
2023-05-19 08:00:00,基础建设II,51
2023-05-19 08:00:00,专业工程II,52
2023-05-19 08:00:00,Nan,53
2023-05-19 08:00:00,白色家电II,54
2023-05-19 08:00:00,专业服务II,55
2023-05-19 08:00:00,休闲食品II,56
2023-05-19 08:00:00,特钢II,57
2023-05-19 08:00:00,国有大型银行II,58
2023-05-19 08:00:00,军工电子II,59
2023-05-19 08:00:00,运输设备II,60
2023-05-19 08:00:00,造纸II,61
2023-05-19 08:00:00,其他电子II,62
2023-05-19 08:00:00,出版II,63
2023-05-19 08:00:00,影视院线II,64
2023-05-19 08:00:00,商用车II,65
2023-05-19 08:00:00,化妆品II,66
2023-05-19 08:00:00,光伏设备II,67
2023-05-19 08:00:00,体育II,68
2023-05-19 08:00:00,地面兵装II,69
2023-05-19 08:00:00,小家电II,70
2023-05-19 08:00:00,航天装备II,71
2023-05-19 08:00:00,股份制银行II,72
2023-05-19 08:00:00,普钢II,73
